Name,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,Senses,Languages,Additional
Black Dragon Wyrmling,17,33,"30, fly 60, 30 swim",15,14,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 30, darkvision 120","Common, Draconic",Amphibious
Young Black Dragon,18,127,"40, 80 fly, swim 40",19,14,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,Amphibious
Adult Blue Dragon,19,225,"40, 40 burrow, 80 fly",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary, Legendary Resistance, Lair"
Ancient Blue Dragon,22,481,"40, 30 burrow, 80 fly",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary, Legendary Resistance, Lair"
Blue Dragon Wyrmling,17,52,"30, 15 burrow, fly 60",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 30, darkvision 120","Common, Draconic",None
Young Blue Dragon,18,152,"40, 20 burrow, 80 fly",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,None
Adult Green Dragon,19,207,"40, 80 fly, swim 40",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Ancient Green Dragon,21,385,"40, 80 fly, swim 40",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Green Dragon Wyrmling,17,38,"30, fly 60, swim 30",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 30, darkvision 120",Draconic,Amphibious
Young Green Dragon,18,136,"40, fly 80, swim 40",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic",Amphibious
Adult Red Dragon,19,256,"40, climb 40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Ancient Red Dragon,22,546,"40, climb 40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Red Dragon Wyrmling,17,75,"40, climb 40, fly 80",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 30, darkvision 120",Draconic,None
Young Red Dragon,18,178,"30, climb 30, fly 60",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60","Common, Draconic",None
Adult White Dragon,18,200,"40, burrow 30, fly 80,  swim 40",22,10,22,8,12,12,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Ice Walk, Legendary Resistance, Legendary, Lair"
Ancient White Dragon,20,333,"40, burrow 40, fly 80, swim 40",26,10,26,10,13,14,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Ice Walk, Legendary Resistance, Legendary, Lair"
White Dragon Wyrmling,16,32,"30, burrow 15, fly 60, swim 30",14,10,14,5,10,11,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,Ice Walk
Young White Dragon,14,133,"40, burrow 20, fly 80, swim 40",18,10,18,6,11,12,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 30, darkvision 120","Common, Draconic",Ice Walk
Adult Brass Dragon,18,172,"40, burrow 30, fly 80",23,10,21,14,13,17,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120,","Common, Draconic","Legendary, Legendary Resistance, Lair"
Ancient Brass Dragon,20,297,"40, burrow 40, fly 80",27,10,25,16,15,19,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120,","Common, Draconic","Legendary, Legendary Resistance, Lair"
Brass Dragon Wyrmling,16,16,"30, burrow 15, fly 60",15,10,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, Darkvision 60",Draconic,None
Young Brass Dragon,17,110,"40, burrow 20, fly 80",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Persuasion, Stealth","Blindsight 30, Darkvision 120","Common, Draconic",None
Adult Bronze Dragon,19,212,"40, 80 fly, swim 40",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Insight, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Ancient Bronze Dragon,22,444,"40, fly 80, swim 40",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Insight, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Bronze Dragon Wyrmling,17,32,"30, fly 60, swim 30",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,Amphibious
Young Bronze Dragon,18,142,"40, fly 80, swim 40",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Insight, Perception, Stealth","Blindsight 30, Darkvision 120","Common, Draconic",Amphibious
Adult Copper Dragon,18,184,"40, climb 40, fly 80",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Ancient Copper Dragon,21,350,"40, climb 40, fly 80",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Copper Dragon Wyrmling,16,22,"30, climb 30, fly 60",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,None
Young Copper Dragon,17,119,"40, climb 40, fly 80",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Blindsight 30, darkvision 120","Common, Draconic",None
Adult Gold Dragon,19,256,"40, fly 80, swim 40",27,14,25,16,15,24,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Ancient Gold Dragon,22,546,"40, fly 80, swim 40",30,14,29,18,17,28,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Gold Dragon Wyrmling,17,60,"30, fly 60, swim 30",19,14,17,14,11,16,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,Amphibious
Young Gold Dragon,18,178,"40, fly 80, swim 40",23,14,21,16,13,20,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth","Blindsight 30, darkvision 120","Common, Draconic",Amphibious
Adult Silver Dragon,19,243,"40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Ancient Silver Dragon,22,487,"40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Legendary Resistance, Legendary, Lair"
Silver Dragon Wyrmling,17,45,"30, fly 60",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 10, darkvision 60",Draconic,None
Young Silver Dragon,18,168,"40, fly 80",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth","Blindsight 30, darkvision 120","Common, Draconic",None
Dragon Turtle,20,341,"20, swim 40",25,10,20,10,12,12,"DEX, CON, WIS",None,Darkvision 120,"Aquan, Draconic",Amphibious
Dragonclaw,14,16,30,9,16,13,11,10,12,WIS,"Deception, Stealth",Normal,"Common, Draconic","Dragon Fanatic, Fanatical Advantage, Pack Tactics"
Dragonfang,15,78,30,11,16,14,12,12,14,WIS,"Deception, Stealth",Normal,"Common, Draconic, Infernal","Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics"
Dragonsoul,16,110,30,11,18,14,13,12,16,WIS,"Deception, Stealth",Normal,"Common, Draconic, Infernal","Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics"
Dragonwing,14,32,30,9,16,13,11,10,12,WIS,"Deception, Stealth",Normal,"Common, Draconic","Dragon Fanatic, Fanatical Advantage, Pack Tactics"
Dread Warrior,18,37,30,15,11,16,10,12,10,WIS,"Athletics, Perception",Darkvision 60,Common,Undead Fortitude
Drider,19,123,"30, climb 30",16,16,18,13,14,12,None,"Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker"
Drow,15,13,30,10,14,10,11,11,12,None,"Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity"
Drow Arachnomancer,15,162,"30, climb 30",11,17,14,19,14,16,"CON, INT, CHA","Arcana, Nature, Perception, Stealth","Blindsight 10, darkvision 120","Elvish, Undercommon, spiders","Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity"
Drow Elite Warrior,18,71,30,13,18,14,11,13,12,"DEX, CON, WIS","Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity"
Drow Favored Consort,15,225,30,15,20,16,18,15,18,"DEX, CON, CHA","Acrobatics, Athletics, Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic"
Drow House Captain,16,162,30,14,19,15,12,14,13,"DEX, CON, WIS","Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity"
Drow Inquisitor,16,143,30,11,15,14,16,21,20,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",Darkvision 120,"Elivhs, Undercommon","Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity"
Drow Mage,12,45,30,9,14,10,17,13,12,None,"Arcana, Deception, Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity"
Drow Matron Mother,17,262,30,12,18,16,17,21,22,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity"
Drow Priestess of Lolth,16,71,30,10,14,12,13,17,18,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity"
Drow Shadowblade,17,150,30,14,21,16,12,14,13,"DEX, CON, WIS","Perception, Stealth",Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity"
Dryad,11,22,30,1,12,11,14,15,18,None,"Perception, Stealth",Darkvision 60,"Elvish, Sylvan","Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride"
Duergar,16,26,25,14,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity"
Duergar Darkhaft,16,26,25,14,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)"
Duergar Despot,21,119,25,20,5,19,15,14,13,"CON, WIS",None,Darkvision 120,"Dwarvish, Undercommon","Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity"
Duergar Hammerer,17,33,20,17,7,12,5,5,5,None,None,Darkvision 60,Dwarvish,"Engine of Pain, Siege Monster"
Duergar Kavalrachni,16,26,25,14,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Cavalry Training, Duergar Resilience, Sunlight Sensitivity"
Duergar Keeper of the Flame,16,26,25,14,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting"
Duergar Mind Master,14,39,25,11,17,14,15,10,12,WIS,"Perception, Stealth","Darkvision 120, truesight 30","Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity"
Duergar Screamer,15,38,20,18,7,12,5,5,5,None,None,Darkvision 60,Dwarvish,Engine of Pain
Duergar Soulblade,14,18,25,11,16,10,11,10,12,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity"
Duergar Spy,15,33,25,10,16,12,12,10,13,None,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Darkvision 120,"Dwarvish, Undercommon","Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity"
Duergar Stone Guard,18,39,25,18,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Phalanx Formation, Sunlight Sensitivity"
Duergar Warlord,20,75,25,18,11,17,12,12,14,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity"
Duergar Xarrorn,18,26,25,16,11,14,11,10,9,None,None,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity"
Eblis,13,26,"30, fly 40",11,16,12,12,14,11,None,None,Normal,"Auran, Common",Innate Spellcasting
Eidolon,9,63,fly 40,7,8,9,14,19,16,WIS,Perception,Darkvision 60,Any,"Incorporeal Movement, Sacred Animation, Turn Resistance"
Autumn Eladrin,19,127,30,12,16,16,14,17,18,None,"Insight, Medicine",Darkvision 60,"Common, Elvish, Sylvan","Enchanting Presence, Fey Step, Innate Spellcasting, Magic Resistance"
Spring Eladrin,19,127,30,14,16,16,18,11,18,None,"Deception, Persuasion",Darkvision 60,"Common, Elvish, Sylvan","Fey Step, Innate Spellcasting, Joyful Presence, Magic Resistance"
Summer Eladrin,19,127,50,19,21,16,14,12,18,None,"Athletics, Intimidation",Darkvision 60,"Common, Elvish, Sylvan","Fearsome Presence, Fey Step, Magic Resistance"
Winter Eladrin,19,127,30,11,10,16,18,17,13,None,None,Darkvision 60,"Common, Elvish, Sylvan","Fey Step, Innate Spellcasting, Magic Resistance, Sorrowful Presence"
Elder Tempest,19,264,fly 120,23,28,23,2,21,18,"WIS, CHA",None,Darkvision 60,None,"Air Form, Flyby, Legendary, Living Storm, Siege Monster"
Leviathan,17,328,"40, swim 120",30,24,30,2,18,17,"WIS, CHA",None,Darkvision 60,None,"Legendary, Partial Freeze, Siege Monster, Water Form"
Phoenix,18,175,"20, fly 120",19,26,25,2,21,18,"WIS, CHA",None,Darkvision 60,None,"Fiery Death and Rebirth, Fire Form, Flyby, Illumination, Legendary, Siege Monster"
Zaratan,21,307,"40, swim 40",30,10,30,2,21,18,"WIS, CHA",None,"Darkvision 60, tremorsense 60",None,"Earth-Shaking Movement, Legendary, Magic Weapons, Siege Monster"
Air Elemental Myrmidon,18,117,"30, fly 30",18,14,14,9,10,10,None,None,Darkvision 60,"Auran, Any",Magic Weapons
Earth Elemental Myrmidon,18,127,30,18,10,17,8,10,10,None,None,Darkvision 60,"Terran, Any",Magic Weapons
Fire Elemental Myrmidon,18,123,40,13,18,15,9,10,10,None,None,Darkvision 60,"Ignan, Any","Illumination, Magic Weapons, Water Susceptibility"
Water Elemental Myrmidon,18,127,"40, swim 40",18,14,15,8,10,10,None,None,Darkvision 60,"Aquan, Any",Magic Weapons
Air Elemental,15,90,fly 90,14,20,14,6,10,6,None,None,Darkvision 60,Auran,Air Form
Earth Elemental,17,126,"30, burrow 30",20,8,20,5,10,5,None,None,"Darkvision 60, tremorsense 60",Terran,"Earth Glide, Siege Monster"
Fire Elemental,13,102,50,10,17,16,6,10,7,None,None,Darkvision 60,Ignan,"Fire Form, Illumination, Water Susceptibility"
Water Elemental,14,114,"30, swim 90",18,14,18,5,10,8,None,None,Darkvision 60,Aquan,"Water Form, Freeze"
Empyrean,22,313,"50, fly 50, swim 50",30,21,30,21,22,27,"STR, INT, WIS, CHA","Insight, Persuasion",Truesight 120,All,"Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons"
Eternal Flame Guardian,17,45,30,15,13,14,8,11,13,None,"Intimidation, Perception",Normal,Common,Flaming Weapon
Eternal Flame Priest,12,52,30,12,15,14,10,11,16,None,"Deception, Intimidation, Religion",Normal,"Common, Ignan",Normal Spellcasting
Ettercap,13,44,"30, climb 30",14,15,13,7,12,8,None,"Perception, Stealth, Survival",Darkvision 60,None,"Spider Climb, Web Sense, Web Walker"
Ettin,12,85,40',21,8,17,6,10,8,None,Perception,Darkvision 60,"Giant, Orc","Two Heads, Wakeful"
Faerie Dragon,15,14,"10, fly 60",3,20,13,14,12,16,None,"Arcana, Perception, Stealth",Darkvision 60,"Draconic, Sylvan","Superior Invisibility, Limited Telepathy, Magic Resistance, Innate Spellcasting"
Firenewt Warlock of Imix,10,33,30,13,11,12,9,11,14,None,None,Darkvision 120,"Draconic, Ignan","Amphibious, Innate Spellcasting, Normal Spellcasting, Imix's Blessing"
Firenewt Warrior,16,22,30,10,13,12,7,11,8,None,None,Normal,"Draconic, Ignan",Amphibious
Flail Snail,16,52,10,17,5,20,3,10,5,None,None,"Darkvision 60, tremorsense 60",None,"Antimagic Shell, Flail Tentacles"
Flameskull,13,40,fly 40,1,17,14,16,10,11,None,"Arcana, Perception",Darkvision 60,Common,"Illumination, Magic Resistance, Rejuvenation, Normal Spellcasting"
Flumph,12,7,"5, fly 30",6,15,10,14,14,11,None,"Arcana, History, Religion",Darkvision 60,"Undercommon, telepathy 60","Advanced Telepathy, Prone Deficiency, Telepathic Shroud"
Flying Monkey,12,3,"20, climb 20, fly 30",8,14,11,5,12,6,None,None,Normal,None,Pack Tactics
Fomorian,14,149,30,23,10,20,9,14,6,None,"Perception, Stealth",Darkvision 120,"Giant, Undercommon",None
Froghemoth,14,184,"30, swim 30",23,13,20,2,12,5,"CON, WIS","Perception, Stealth",Darkvision 60,None,"Amphibious, Shock SUsceptibility"
Gas Spore,5,1,fly 10,5,1,3,1,1,1,None,None,Blindsight 30,None,"Death Burst, Eerie Resemblance"
Shrieker,5,13,None,1,1,10,1,10,3,None,None,Blindsight 30,None,False Appearance
Violet Fungus,5,18,5,3,1,10,1,3,1,None,None,Blindsight 30,None,False Appearance
Galeb Duhr,16,85,"15, rolling",20,14,20,11,12,11,None,None,"Darkvision 60, tremorsense 60",Terran,"False Appearance, Rolling Charge"
Gargoyle,15,52,"30, fly 60",15,11,16,6,11,7,None,None,Darkvision 60,Terran,False Appearance
Dao,18,187,"30, burrow 30, fly 30",23,12,24,12,13,14,"INT, WIS, CHA",None,Darkvision 120,Terran,"Earth Glide, Elemental Demise, Innate Spellcasting, Sure-Footed"
"Genie, Djinni",17,161,"30, fly 90",21,15,22,15,16,20,"DEX, WIS, CHA",None,Darkvision 120,Auran,"Elemental Demise, Innate Spellcasting"
Efreeti,17,200,"40, fly 60",22,12,24,16,15,16,"INT, WIS, CHA",None,Darkvision 120,Ignan,"Elemental Demise, Innate Spellcasting"
"Genie, Marid",17,229,"30, fly 60, swim 90",22,12,26,18,17,18,"DEX, WIS, CHA",None,"Blindsight 30, darkvision 120",Aquan,"Amphibious, Elemental Demise, Innate Spellcasting"
Geonid,17,26,30,12,10,16,9,14,11,None,"Perception, Stealth","Darkvision 60, tremorsense 30",Terran,Boulder Guise
Ghost,11,45,fly 40,7,13,10,10,12,17,None,None,Darkvision 60,Any,"Ethereal Sight, Incorporeal Movement"
Ghoul,12,22,30,13,15,10,7,10,6,None,None,Darkvision 60,Common,None
Ghast,13,36,30,16,17,10,11,10,8,None,None,Darkvision 60,Common,"Stench, Turning Defiance"
Giant Crayfish,15,45,"30, swim 30",15,13,13,1,9,3,None,Stealth,Blindsight 30,None,Amphibious
Giant Fly,11,19,"30, fly 60",14,13,13,2,10,3,None,None,Darkvision 60,None,None
Giant Ice Toad,14,52,30,16,13,14,8,10,6,None,None,Darkvision 60,Own,"Amphibious, Cold Aura, Standing Leap"
Giant Lightning Eel,13,42,"5, swim 30",11,17,16,2,12,3,None,None,Blindsight 60,None,Water Breathing
Giant Snapping Turtle,17,75,"30, swim 40",19,10,14,2,12,5,None,None,Darkvision 60,None,"Amphibious, Stable"
Giant Strider,14,22,50,18,13,14,4,12,6,None,None,Normal,None,Fire Absorption
Giant Subterranean Lizard,14,66,"30, swim 50",21,9,17,2,10,7,None,Stealth,Normal,None,None
Cloud Giant,14,200,40,27,10,22,12,16,16,"CON, WIS, CHA","Insight, Perception",Normal,"Common, Giant","Keen Smell, Innate Spellcasting"
Cloud Giant Smiling One,15,262,40,26,12,22,15,16,17,"CON, INT, CHA","Deception, Insight, Perception, Sleight of Hand",Normal,"Common, Giant","INnate Spellcasting, Normal Spellcasting, Keen Smell"
Fire Giant,18,162,30,25,9,23,10,14,13,"DEX, CON, CHA","Athletics, Perception",Normal,Giant,None
Fire Giant Dreadnought,21,187,30,27,9,23,8,10,11,"DEX, CON, CHA","Athletics, Perception",Normal,Giant,Dual Shields
Frost Giant,15,138,40,23,9,21,9,10,12,"CON, WIS, CHA","Athletics, Perception",Normal,Giant,None
Frost Giant Everlasting One,15,189,40,25,9,24,9,10,12,"STR, CON, WIS","Athletics, Perception",Darkvision 60,Giant,"Extra Heads, Regeneration, Vaprak's Rage"
Hill Giant,13,105,40,21,8,19,5,9,6,None,Perception,Normal,Giant,None
Mouth of Grolantor,14,105,50,21,10,18,5,7,5,None,Perception,Normal,Giant,Mouth of Madness
Stone Giant,17,126,40,23,15,20,10,12,9,"DEX, CON, WIS","Athletics, Perception",Darkvision 60,Giant,Stone Camouflage
Stone Giant Dreamwalker,18,161,40,23,14,21,10,8,12,"DEX, CON, WIS","Athletics, Perception",Darkvision 60,"Common, Giant",Dreamwalker's Charm
Storm Giant,16,230,"50, swim 50",29,14,20,16,18,18,"STR, CON, WIS, CHA","Arcana, Athletics, History, Perception",Normal,"Common, Giant","Amphibious, Innate Spellcasting"
Storm Giant Quintessent,12,230,"50, fly 50, swim 50",29,14,20,17,20,19,"STR, CON, WIS, CHA","Arcana, History, Perception",Truesight 60,"Common, Giant","Amphibious, Legendary"
Gibbering Mouther,9,67,"10, swim 10",10,8,16,3,10,6,None,None,Darkvision 60,None,"Aberrant Ground, Gibbering"
Giff,16,60,30,18,14,17,11,12,12,None,None,Normal,Common,"Headfirst Charge, Firearms Knowledge"
Girallon,13,59,"40, climb 40",18,16,16,5,12,7,None,"Perception, Stealth",Darkvision 60,None,"Aggressive, Keen Smell"
Githyanki Gish,17,123,30,17,15,14,16,15,16,"CON, INT, WIS","Insight, Perception, Stealth",Normal,Own,"Innate Spellcasting (Psionics), Normal Spellcasting, War Magic"
Githyanki Kith'Rak,18,180,30,18,16,17,16,15,17,"CON, INT, WIS","Intimidation, Perception",Normal,Own,"Innate Spellcasting (Psionics), Rally the Troops"
Githyanki Knight,18,91,30,16,14,15,14,14,15,"CON, INT, WIS",None,Normal,Own,Innate Spellcasting
Githyanki Supreme Commander,18,187,30,19,17,18,16,16,18,"CON, INT, WIS","Insight, Intimidation, Perception",Normal,Own,"Innate Spellcasting (Psionics), Legendary"
Githyanki Warrior,17,49,30,15,14,12,13,13,10,"CON, INT, WIS",None,Normal,Own,Innate Spellcasting
Githzerai Anarch,20,144,30,16,21,18,18,20,14,"STR, DEX, INT, WIS","Arcana, Insight, Perception",Normal,Own,"Innate Spellcasting (Psionics), Psychic Defense, Lair, Legendary"
Githzerai Enlightened,18,112,30,14,19,16,17,19,13,"STR, DEX, INT, WIS","Arcana, Insight, Perception",Normal,Own,"Innate Spellcasting (Psionics), Psychic Defense"
Githzerai Monk,14,38,30,12,15,12,13,14,10,"STR, DEX, INT, WIS","Insight, Perception",Normal,Own,"Innate Spellcasting (Psionics), Psychic Defense"
Githzerai Zerth,17,84,30,13,18,15,16,17,12,"STR, DEX, INT, WIS","Arcana, Insight, Perception",Normal,Own,"Innate Spellcasting, Psychic Defense"
Gnoll,15,22,30,14,12,11,6,10,7,None,None,Darkvision 60,Gnoll,Rampage
Gnoll Fang of Yeenoghu,14,65,30,17,15,15,10,11,13,"CON, WIS, CHA",None,Darkvision 60,"Abyssal, Gnoll",Rampage
Gnoll Flesh Gnawer,14,22,30,12,14,12,8,10,8,DEX,None,Darkvision 60,Gnoll,Rampage
Gnoll Hunter,13,22,30,14,14,12,8,12,8,None,"Perception, Stealth",Darkvision 60,GNoll,Rampage
Gnoll Pack Lord,15,49,30,16,14,13,8,11,9,None,None,Darkvision 60,Gnoll,Rampage
Gnoll Witherling,12,11,30,14,8,12,5,5,5,None,None,Darkvision 60,Gnoll,Rampage
Flind,16,127,30,20,10,19,11,13,12,"CON, WIS","Intimation, Perception",Darkvision 60,"Gnoll, Abyssal",Aura of Blood Thirst
Goblin,15,7,30,8,14,10,10,8,8,None,Stealth,Darkvision 60,"Common, Goblin",Nimble Escape
Goblin Boss,17,21,30,10,14,10,10,8,10,None,Stealth,Darkvision 60,"Common, Goblin",Nimble Escape
Clay Golem,14,133,20,20,9,18,3,8,1,None,None,Darkvision 60,Creator,"Acid Absorption, Berserk, Immutable Form, Magic Resistance, Magic Weapons"
Flesh Golem,9,93,30,19,9,18,6,10,5,None,None,Darkvision 60,Creator,"Berserk, Aversion of Fire, Immutable Form, Lightning Absorption, Magic Resistance, Magic Weapons"
Iron Golem,20,210,30,24,9,20,3,11,1,None,None,Darkvision 120,Creator,"Fire Absorption, Immutable Form, Magic Resistance, Magic Weapons"
Stone Golem,17,178,30,22,9,20,3,11,1,None,None,Darkvision 120,Creator,"Immutable Form, Magic Resistance, Magic Weapons"
Gorgon,19,114,40,20,11,18,2,12,7,None,Perception,Darkvision 60,None,Trampling Charge
Gray Render,19,189,30,19,13,20,3,6,8,"STR, CON",Perception,Darkvision 60,None,None
Grell,12,55,"10, fly 30",15,14,13,12,11,9,None,"Perception, Stealth",Blindsight 60,Own,None
Grick,14,27,"30, climb 30",14,14,11,3,14,5,None,None,Darkvision 60,None,Stone Camouflage
Grick Alpha,18,75,"30, climb 30",18,16,15,4,14,9,None,None,Darkvision 60,None,Stone Camouflage
Griffon,12,59,"30, fly 80",18,15,16,2,13,8,None,Perception,Darkvision 60,None,Keen Sight
Grimlock,11,11,30,16,12,12,9,8,6,None,"Athletics, Perception, Stealth",Blindsight 30,Undercommon,"Blind Senses, Keen Hearing, Keen Smell, Stone Camouflage"
Grung,12,11,"25, climb 25",7,14,15,10,11,10,DEX,"Athletics, Perception, Stealth, Survival",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap"
Grung Elite Warrior,13,49,"25, climb 25",7,16,15,10,11,12,DEX,"Athletics, Perception, Stealth, Survival",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap"
Grung Wildling,13,27,"25, climb 25",7,16,15,10,15,11,DEX,"Athletics, Perception, Stealth, Survival",Normal,Own,"Amphibious, Poisonous SKin, Normal Spellcasting, Standing Leap"
Guard Drake,14,52,30,16,11,16,4,10,7,None,Perception,Darkvision 60,"Draconic, Ignan",None
